Arrt;Code;Bibliothèques de prêt;prêts adultes;dont prolongations bib;dont prolongations portail;prêts discothèque;dont prolongations bib;dont prolongations portail;prêts jeunesse;dont prolongations bib;dont prolongations portail;prêts vidéothèque;dont prolongations bib;dont prolongations portail;prêts fds spéc. / partitions / réserve;dont prolongations bib;dont prolongations portail;prêts pôles thém. / langues;dont prolongations bib;dont prolongations portail;Prêts documents de la Réserve Centrale;dont prolongations bib;TOTAL;Dont prêts automates;;;;;
12;42;Diderot; 	254   ; 	12   ; 	41   ; 	-00   ; 	-00   ; 	-00   ; 	2.740   ; 	75   ; 	253   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	28   ; 	-00   ; 	3.022   ; 	-00   ;;;;;
9;9;Drouot; 	3.535   ; 	105   ; 	357   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	711   ; 	19   ; 	154   ; 	132   ; 	3   ; 	4.378   ; 	-00   ;;;;;
17;77;Edmond Rostand; 	9.587   ; 	325   ; 	1.154   ; 	3.421   ; 	99   ; 	306   ; 	8.274   ; 	366   ; 	584   ; 	4.015   ; 	80   ; 	321   ; 	4   ; 	-00   ; 	2   ; 	719   ; 	24   ; 	91   ; 	224   ; 	12   ; 	26.244   ; 	22.628   ;;;;;
8;8;Europe; 	2.252   ; 	77   ; 	286   ; 	486   ; 	9   ; 	34   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	109   ; 	2   ; 	2.847   ; 	-00   ;;;;;
11;11;Faidherbe; 	11.349   ; 	356   ; 	1.637   ; 	3.376   ; 	77   ; 	396   ; 	8.269   ; 	290   ; 	1.188   ; 	623   ; 	8   ; 	127   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	274   ; 	7   ; 	23.891   ; 	-00   ;;;;;
19;25;Fessart; 	3.996   ; 	126   ; 	335   ; 	-00   ; 	-00   ; 	-00   ; 	1.848   ; 	35   ; 	168   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	193   ; 	3   ; 	6.037   ; 	-00   ;;;;;
10;44;François Villon; 	11.293   ; 	423   ; 	1.565   ; 	4.615   ; 	128   ; 	710   ; 	7.454   ; 	186   ; 	549   ; 	5.612   ; 	149   ; 	532   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	303   ; 	6   ; 	29.277   ; 	24.800   ;;;;;
14;14;Georges Brassens; 	11.171   ; 	291   ; 	1.368   ; 	-00   ; 	-00   ; 	-00   ; 	5.728   ; 	116   ; 	825   ; 	5.988   ; 	89   ; 	563   ; 	-00   ; 	-00   ; 	-00   ; 	39   ; 	2   ; 	-00   ; 	236   ; 	7   ; 	23.162   ; 	-00   ;;;;;
16;16;Germaine Tillion; 	7.960   ; 	298   ; 	958   ; 	2.344   ; 	26   ; 	287   ; 	5.202   ; 	146   ; 	684   ; 	-00   ; 	-00   ; 	-00   ; 	4.885   ; 	170   ; 	1.038   ; 	1.546   ; 	65   ; 	253   ; 	151   ; 	5   ; 	22.088   ; 	-00   ;;;;;
13;30;Glacière; 	4.919   ; 	142   ; 	472   ; 	985   ; 	8   ; 	105   ; 	4.717   ; 	169   ; 	618   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	193   ; 	18   ; 	10.814   ; 	-00   ;;;;;
