Arrt;Code;Bibliothèques;prêts adultes;prêts discothèque;prêts jeunesse;prêts vidéothèque;prêts fds spéc. / partitions / réserve;prêts pôles thém. / langues;Prêts documents de la Réserve Centrale;TOTAL;Dont prêts automates;;;;;
20;27;Mortier; 	-00   ; 	-00   ; 	2.042   ; 	-00   ; 	-00   ; 	-00   ; 	1   ; 	2.043   ;;;;;;
5;5;Mouffetard; 	18.186   ; 	6.695   ; 	4.687   ; 	-00   ; 	-00   ; 	-00   ; 	176   ; 	29.744   ;;;;;;
16;23;Musset; 	2.373   ; 	-00   ; 	1.281   ; 	-00   ; 	-00   ; 	-00   ; 	22   ; 	3.676   ;;;;;;
11;58;Parmentier; 	22.237   ; 	10.840   ; 	11.739   ; 	8.144   ; 	-00   ; 	-00   ; 	349   ; 	53.309   ;;;;;;
4;99;Personnel; 	1.875   ; 	-00   ; 	105   ; 	-00   ; 	130   ; 	5   ; 	42   ; 	2.157   ;;;;;;
12;12;Picpus; 	24.983   ; 	12.163   ; 	15.828   ; 	8.919   ; 	2.492   ; 	-00   ; 	335   ; 	64.720   ; 	53.263   ;;;;;
19;46;Place des Fêtes; 	4.443   ; 	1.944   ; 	3.572   ; 	-00   ; 	-00   ; 	-00   ; 	108   ; 	10.067   ;;;;;;
14;41;Plaisance; 	5.541   ; 	1.804   ; 	3.834   ; 	-00   ; 	-00   ; 	-00   ; 	61   ; 	11.240   ;;;;;;
18;29;Porte Montmartre; 	14   ; 	-00   ; 	17   ; 	-00   ; 	-00   ; 	-00   ; 	-00   ; 	31   ;;;;;;
5;48;Port-Royal; 	9.964   ; 	5.505   ; 	4.636   ; 	2.176   ; 	-00   ; 	2.269   ; 	220   ; 	24.770   ;;;;;;
11;70;Réserve Centrale; 	1.363   ; 	277   ; 	-00   ; 	-00   ; 	27   ; 	-00   ; 	-00   ; 	1.667   ;;;;;;
20;60;Réunion; 	2.788   ; 	1   ; 	263   ; 	41   ; 	26   ; 	-00   ; 	10   ; 	3.129   ;;;;;;
12;31;Saint-Eloi; 	7.316   ; 	2.053   ; 	4.233   ; 	-00   ; 	-00   ; 	827   ; 	72   ; 	14.501   ;;;;;;
20;36;Saint-Fargeau; 	7.615   ; 	2.761   ; 	5.052   ; 	-00   ; 	-00   ; 	1.307   ; 	176   ; 	16.911   ;;;;;;
7;7;Saint-Simon; 	4.025   ; 	1.086   ; 	2.262   ; 	-00   ; 	-00   ; 	-00   ; 	75   ; 	7.448   ;;;;;;
20;26;Sorbier; 	3.127   ; 	-00   ; 	7.034   ; 	-00   ; 	-00   ; 	-00   ; 	83   ; 	10.244   ;;;;;;
16;16;Trocadéro; 	10.609   ; 	3.926   ; 	8.827   ; 	-00   ; 	5.035   ; 	2.154   ; 	171   ; 	30.722   ;;;;;;
9;28;Valeyre; 	8.341   ; 	3.689   ; 	5.262   ; 	-00   ; 	-00   ; 	714   ; 	182   ; 	18.188   ;;;;;;
14;40;Vandamme; 	6.200   ; 	2.959   ; 	3.558   ; 	-00   ; 	-00   ; 	606   ; 	105   ; 	13.428   ;;;;;;
15;15;Vaugirard; 	7.415   ; 	1.018   ; 	3.686   ; 	-00   ; 	-00   ; 	313   ; 	83   ; 	12.515   ;;;;;;
Total Vsmart;;; 	423.187   ; 	195.989   ; 	311.275   ; 	87.076   ; 	16.069   ; 	24.381   ; 	7.355   ; 	1.065.332   ; 	170.447   ;;;;;
;;;;;;;;;;;;;;;;
Détail prêts de la Réserve Centrale;;; 	6.523   ; 	2.380   ; 	-00   ; 	-00   ; 	119   ; 	-00   ; 	-00   ; 	9.022   ;;;;;;
;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques;Prêts;;Renouv;;Consultation;Total prêts;;;% prêts automates;;;;;
;;;Automates;Autres;Automates;Autres;;Automates;Autres;Total;;;;;;
5;33;Buffon Centre de Documentation; 	-00   ; 	993   ; 	-00   ; 	651   ; 	-00   ; 	-00   ; 	1.644   ; 	1.644   ;0,0 %;;;;;
1;69;Cinéma François Truffaut; 	14.508   ; 	1.244   ; 	156   ; 	1.002   ; 	692   ; 	14.664   ; 	2.246   ; 	16.910   ;86,7 %;;;;;
4;97;Forney; 	-00   ; 	2.990   ; 	-00   ; 	1.143   ; 	-00   ; 	-00   ; 	4.133   ; 	4.133   ;0,0 %;;;;;
Total Portfolio;;; 	14.508   ; 	5.227   ; 	156   ; 	2.796   ; 	692   ; 	14.664   ; 	8.023   ; 	22.687   ;64,6 %;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Arrt;Code;Bibliothèques;TOTAL;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Total Vsmart + Portfolio;;;1.088.019;;;;;;;;;;;;;
